"","Federal Provider Number","facility_size","allshortages_ppe","allshortages_staff","Provider State","totdeaths_residents","anyshortage_staff","anyshortage_ppe"
"1","015009","1",0,30,"AL",106.4,"1","0"
"2","015012","1",0,29,"AL",107.1,"1","0"
"3","015014","1",0,6,"AL",0,"1","0"
"4","015015","2",0,29,"AL",0,"1","0"
"5","015019","2",2,3,"AL",89.6,"1","1"
"6","015023","2",1,25,"AL",263.2,"1","1"
"7","015024","2",0,24,"AL",102.8,"1","0"
"8","015027","2",0,29,"AL",55.6,"1","0"
"9","015027","1",0,29,"AL",55.6,"1","0"
"10","015028","2",0,30,"AL",35.1,"1","0"
"11","015031","2",0,29,"AL",34.2,"1","0"
"12","015032","2",0,0,"AL",94.1,"0","0"
"13","015035","2",0,0,"AL",83.3,"0","0"
"14","015040","2",0,2,"AL",168.8,"1","0"
"15","015042","2",0,30,"AL",49.2,"1","0"
"16","015042","1",0,30,"AL",49.2,"1","0"
"17","015044","1",0,28,"AL",282.1,"1","0"
"18","015045","2",1,24,"AL",12.3,"1","1"
"19","015048","1",0,29,"AL",0,"1","0"
"20","015049","2",0,0,"AL",26,"0","0"
"21","015050","1",0,2,"AL",16.7,"1","0"
"22","015053","1",0,30,"AL",127,"1","0"
"23","015060","1",0,10,"AL",20.4,"1","0"
"24","015063","2",0,27,"AL",218.8,"1","0"
"25","015066","1",0,30,"AL",0,"1","0"
"26","015067","2",1,30,"AL",15.9,"1","1"
"27","015071","1",0,1,"AL",108.1,"1","0"
"28","015073","2",0,30,"AL",22.6,"1","0"
"29","015075","2",0,26,"AL",273.4,"1","0"
"30","015076","2",0,30,"AL",29.3,"1","0"
"31","015083","2",0,30,"AL",34.1,"1","0"
"32","015084","2",0,4,"AL",170.7,"1","0"
"33","015089","1",1,3,"AL",130.4,"1","1"
"34","015091","2",0,29,"AL",69.2,"1","0"
"35","015098","2",0,22,"AL",321.4,"1","0"
"36","015100","2",0,0,"AL",51,"0","0"
"37","015101","1",0,30,"AL",138.9,"1","0"
"38","015111","2",0,2,"AL",127.1,"1","0"
"39","015112","2",0,30,"AL",72.5,"1","0"
"40","015113","2",1,29,"AL",0,"1","1"
"41","015114","2",0,16,"AL",68.5,"1","0"
"42","015116","2",1,28,"AL",94.1,"1","1"
"43","015121","1",0,0,"AL",96.2,"0","0"
"44","015123","1",0,9,"AL",55.6,"1","0"
"45","015124","1",0,23,"AL",236.4,"1","0"
"46","015126","2",0,0,"AL",135.1,"0","0"
"47","015127","2",0,0,"AL",108.7,"0","0"
"48","015128","2",0,8,"AL",362.5,"1","0"
"49","015129","2",0,0,"AL",100,"0","0"
"50","015132","2",0,6,"AL",103.8,"1","0"
"51","015133","2",0,30,"AL",0,"1","0"
"52","015134","2",0,30,"AL",27.8,"1","0"
"53","015135","1",0,1,"AL",100,"1","0"
"54","015136","2",0,0,"AL",135.1,"0","0"
"55","015137","1",0,30,"AL",69.4,"1","0"
"56","015141","1",0,0,"AL",0,"0","0"
"57","015143","2",0,5,"AL",214.9,"1","0"
"58","015144","2",1,29,"AL",51.1,"1","1"
"59","015145","2",0,2,"AL",163.5,"1","0"
"60","015147","2",2,30,"AL",20.2,"1","1"
"61","015148","1",0,10,"AL",75,"1","0"
"62","015149","1",0,30,"AL",0,"1","0"
"63","015150","1",0,0,"AL",169,"0","0"
"64","015151","2",0,7,"AL",12.8,"1","0"
"65","015152","2",0,17,"AL",145.2,"1","0"
"66","015153","2",0,29,"AL",180.9,"1","0"
"67","015154","2",0,8,"AL",45.5,"1","0"
"68","015155","2",0,29,"AL",252.7,"1","0"
"69","015156","2",0,6,"AL",22,"1","0"
"70","015157","1",0,30,"AL",23.8,"1","0"
"71","015158","1",0,0,"AL",38.5,"0","0"
"72","015159","2",0,28,"AL",150.5,"1","0"
"73","015160","2",0,0,"AL",100,"0","0"
"74","015162","2",0,30,"AL",28.1,"1","0"
"75","015163","2",0,30,"AL",95.6,"1","0"
"76","015167","1",0,4,"AL",135.6,"1","0"
"77","015169","2",0,30,"AL",193,"1","0"
"78","015171","2",1,27,"AL",117.6,"1","1"
"79","015174","2",0,30,"AL",108.7,"1","0"
"80","015175","2",0,23,"AL",219.7,"1","0"
"81","015176","2",0,30,"AL",210.1,"1","0"
"82","015177","1",0,11,"AL",17.2,"1","0"
"83","015179","1",0,29,"AL",0,"1","0"
"84","015180","2",0,30,"AL",145.3,"1","0"
"85","015183","2",0,25,"AL",110.2,"1","0"
"86","015184","2",0,29,"AL",90.9,"1","0"
"87","015188","1",0,30,"AL",0,"1","0"
"88","015189","1",0,9,"AL",333.3,"1","0"
"89","015192","2",0,0,"AL",188.7,"0","0"
"90","015193","2",1,14,"AL",395.8,"1","1"
"91","015194","1",0,27,"AL",200,"1","0"
"92","015196","1",0,2,"AL",140.6,"1","0"
"93","015197","1",0,0,"AL",20,"0","0"
"94","015199","2",0,0,"AL",85.9,"0","0"
"95","015200","2",0,0,"AL",160.6,"0","0"
"96","015201","1",0,13,"AL",0,"1","0"
"97","015202","2",0,30,"AL",77.5,"1","0"
"98","015204","1",0,8,"AL",38.5,"1","0"
"99","015206","2",0,13,"AL",145.2,"1","0"
"100","015207","2",0,30,"AL",270.5,"1","0"
"101","015208","2",0,30,"AL",313.4,"1","0"
"102","015209","2",0,2,"AL",224.1,"1","0"
"103","015212","2",0,28,"AL",173.9,"1","0"
"104","015213","2",0,0,"AL",22.7,"0","0"
"105","015214","1",0,0,"AL",0,"0","0"
"106","015215","2",0,30,"AL",170.2,"1","0"
"107","015216","2",0,29,"AL",209.3,"1","0"
"108","015217","2",0,30,"AL",35.7,"1","0"
"109","015220","1",0,0,"AL",48.4,"0","0"
"110","015221","2",0,26,"AL",7.5,"1","0"
"111","015222","2",0,22,"AL",34.5,"1","0"
"112","015223","2",0,28,"AL",12.5,"1","0"
"113","015225","2",0,30,"AL",131.9,"1","0"
"114","015227","2",0,18,"AL",195.4,"1","0"
"115","015303","2",0,28,"AL",17.5,"1","0"
"116","015315","1",0,29,"AL",29.4,"1","0"
"117","015320","2",0,10,"AL",57.1,"1","0"
"118","015322","1",0,30,"AL",46.2,"1","0"
"119","015361","1",1,0,"AL",279.1,"0","1"
"120","015369","2",0,29,"AL",377,"1","0"
"121","015372","1",0,9,"AL",19.2,"1","0"
"122","015373","2",1,0,"AL",68.5,"0","1"
"123","015374","1",1,6,"AL",127.7,"1","1"
"124","015375","1",0,28,"AL",0,"1","0"
"125","015376","2",0,3,"AL",239.6,"1","0"
"126","015378","1",0,10,"AL",18.2,"1","0"
"127","015379","2",0,30,"AL",83.3,"1","0"
"128","015381","1",0,30,"AL",37,"1","0"
"129","015382","2",0,3,"AL",53.2,"1","0"
"130","015383","2",0,30,"AL",115.8,"1","0"
"131","015386","1",0,30,"AL",0,"1","0"
"132","015388","2",0,30,"AL",60.6,"1","0"
"133","015390","2",0,29,"AL",84.7,"1","0"
"134","015392","1",0,30,"AL",36.4,"1","0"
"135","015393","2",0,0,"AL",84,"0","0"
"136","015396","1",0,1,"AL",189.7,"1","0"
"137","015397","2",0,23,"AL",22,"1","0"
"138","015400","1",0,3,"AL",122,"1","0"
"139","015402","1",0,12,"AL",359,"1","0"
"140","015404","1",0,2,"AL",500,"1","0"
"141","015406","1",0,6,"AL",0,"1","0"
"142","015411","2",0,19,"AL",119.3,"1","0"
"143","015414","1",0,19,"AL",50,"1","0"
"144","015416","2",0,29,"AL",102.3,"1","0"
"145","015417","1",0,13,"AL",66.7,"1","0"
"146","015419","1",0,28,"AL",155.2,"1","0"
"147","015420","2",0,1,"AL",62.5,"1","0"
"148","015422","2",0,30,"AL",161.3,"1","0"
"149","015423","1",0,30,"AL",0,"1","0"
"150","015424","1",0,14,"AL",142.9,"1","0"
"151","015425","2",0,28,"AL",0,"1","0"
"152","015426","1",0,24,"AL",0,"1","0"
"153","015429","2",0,23,"AL",53.2,"1","0"
"154","015433","2",0,26,"AL",26.3,"1","0"
"155","015434","2",0,2,"AL",253.5,"1","0"
"156","015435","2",0,29,"AL",0,"1","0"
"157","015436","2",0,30,"AL",137.9,"1","0"
"158","015437","2",0,30,"AL",216.7,"1","0"
"159","015442","1",0,12,"AL",80,"1","0"
"160","015443","2",0,0,"AL",0,"0","0"
"161","015446","1",1,28,"AL",70.4,"1","1"
"162","015447","1",0,29,"AL",40,"1","0"
"163","015448","1",0,30,"AL",60,"1","0"
"164","015450","1",0,30,"AL",27,"1","0"
"165","015452","1",0,1,"AL",0,"1","0"
"166","015454","1",0,27,"AL",181.8,"1","0"
"167","015455","2",0,28,"AL",0,"1","0"
"168","015457","1",0,10,"AL",194.4,"1","0"
"169","015458","1",0,7,"AL",0,"1","0"
"170","015459","1",1,29,"AL",41.7,"1","1"
"171","015460","1",0,30,"AL",46.5,"1","0"
"172","015463","1",0,0,"AL",411.8,"0","0"
"173","015467","2",0,5,"AL",69.8,"1","0"
"174","015471","1",0,0,"AL",227.3,"0","0"
"175","01A193","1",0,29,"AL",0,"1","0"
"176","025010","1",0,1,"AK",0,"1","0"
"177","025015","1",0,19,"AK",0,"1","0"
"178","025020","1",0,30,"AK",0,"1","0"
"179","025021","1",0,27,"AK",43.5,"1","0"
"180","025024","1",2,28,"AK",0,"1","1"
"181","025025","2",0,30,"AK",39,"1","0"
"182","025026","1",0,26,"AK",0,"1","0"
"183","025027","1",0,3,"AK",0,"1","0"
"184","025028","1",0,2,"AK",111.1,"1","0"
"185","025030","1",0,22,"AK",0,"1","0"
"186","025031","1",0,3,"AK",0,"1","0"
"187","025032","1",0,18,"AK",0,"1","0"
"188","025034","1",0,30,"AK",0,"1","0"
"189","025035","1",0,30,"AK",0,"1","0"
"190","025036","1",0,9,"AK",0,"1","0"
"191","025037","1",0,30,"AK",0,"1","0"
"192","025038","1",0,26,"AK",0,"1","0"
"193","035003","1",0,25,"AZ",142.9,"1","0"
"194","035004","2",0,23,"AZ",130,"1","0"
"195","035014","2",0,30,"AZ",140.8,"1","0"
"196","035059","1",0,30,"AZ",0,"1","0"
"197","035062","2",0,30,"AZ",13.9,"1","0"
"198","035064","2",0,7,"AZ",27.5,"1","0"
"199","035068","2",0,30,"AZ",0,"1","0"
"200","035070","2",0,30,"AZ",344.4,"1","0"
"201","035071","2",0,30,"AZ",193.3,"1","0"
"202","035072","2",0,30,"AZ",134.6,"1","0"
"203","035074","2",0,30,"AZ",95.2,"1","0"
"204","035076","2",0,30,"AZ",28.8,"1","0"
"205","035083","2",0,30,"AZ",58.8,"1","0"
"206","035083","1",0,30,"AZ",58.8,"1","0"
"207","035084","2",0,11,"AZ",16.1,"1","0"
"208","035085","2",0,30,"AZ",35.1,"1","0"
"209","035086","2",0,30,"AZ",98,"1","0"
"210","035087","2",0,30,"AZ",20.7,"1","0"
"211","035088","2",0,30,"AZ",63.5,"1","0"
"212","035090","1",0,27,"AZ",0,"1","0"
"213","035091","1",0,27,"AZ",14.5,"1","0"
"214","035092","2",0,30,"AZ",179.1,"1","0"
"215","035093","1",0,30,"AZ",26.3,"1","0"
"216","035094","1",0,30,"AZ",0,"1","0"
"217","035094","2",0,30,"AZ",0,"1","0"
"218","035095","2",0,27,"AZ",264.7,"1","0"
"219","035096","2",0,30,"AZ",275.9,"1","0"
"220","035097","2",0,27,"AZ",240,"1","0"
"221","035099","2",0,30,"AZ",265.5,"1","0"
"222","035100","2",0,30,"AZ",29.4,"1","0"
"223","035101","2",0,30,"AZ",88.2,"1","0"
"224","035103","2",0,30,"AZ",129.4,"1","0"
"225","035105","2",0,30,"AZ",93,"1","0"
"226","035106","1",0,21,"AZ",38.5,"1","0"
"227","035107","2",0,30,"AZ",174.6,"1","0"
"228","035110","2",0,30,"AZ",186.9,"1","0"
"229","035111","2",0,30,"AZ",294.1,"1","0"
"230","035112","2",0,13,"AZ",288.1,"1","0"
"231","035114","2",0,26,"AZ",189.2,"1","0"
"232","035116","1",0,30,"AZ",100,"1","0"
"233","035117","2",0,5,"AZ",297.9,"1","0"
"234","035118","1",0,30,"AZ",0,"1","0"
"235","035120","2",0,7,"AZ",89.7,"1","0"
"236","035121","1",0,26,"AZ",0,"1","0"
"237","035125","2",0,25,"AZ",206.2,"1","0"
"238","035126","2",0,30,"AZ",115.4,"1","0"
"239","035127","1",0,13,"AZ",54.1,"1","0"
"240","035130","2",0,19,"AZ",54.5,"1","0"
"241","035131","2",0,29,"AZ",333.3,"1","0"
"242","035132","2",0,30,"AZ",22.6,"1","0"
"243","035133","2",0,21,"AZ",282.1,"1","0"
"244","035134","2",0,14,"AZ",500,"1","0"
"245","035135","2",0,30,"AZ",68.4,"1","0"
"246","035136","2",0,7,"AZ",207.5,"1","0"
"247","035137","2",0,29,"AZ",166.7,"1","0"
"248","035139","1",0,30,"AZ",320,"1","0"
"249","035140","2",0,30,"AZ",90.9,"1","0"
"250","035141","1",0,8,"AZ",37,"1","0"
"251","035143","1",0,0,"AZ",294.1,"0","0"
"252","035144","2",0,30,"AZ",0,"1","0"
"253","035145","2",0,24,"AZ",16.1,"1","0"
"254","035146","2",0,2,"AZ",205.9,"1","0"
"255","035151","2",0,30,"AZ",24.4,"1","0"
"256","035152","2",0,29,"AZ",214.3,"1","0"
"257","035154","2",0,0,"AZ",294.1,"0","0"
"258","035158","1",0,7,"AZ",428.6,"1","0"
"259","035159","2",0,29,"AZ",93.5,"1","0"
"260","035164","2",0,30,"AZ",94.6,"1","0"
"261","035165","2",0,29,"AZ",464.3,"1","0"
"262","035166","2",3,25,"AZ",40,"1","1"
"263","035169","2",0,30,"AZ",16.9,"1","0"
"264","035171","1",0,30,"AZ",93,"1","0"
"265","035172","2",0,26,"AZ",372.1,"1","0"
"266","035173","1",0,4,"AZ",250,"1","0"
"267","035174","2",0,30,"AZ",51.7,"1","0"
"268","035176","1",0,4,"AZ",222.2,"1","0"
"269","035180","1",0,30,"AZ",125,"1","0"
"270","035183","2",0,30,"AZ",83.3,"1","0"
"271","035189","2",0,30,"AZ",15.2,"1","0"
"272","035190","2",0,30,"AZ",13.7,"1","0"
"273","035193","2",1,28,"AZ",13,"1","1"
"274","035196","2",0,30,"AZ",40,"1","0"
"275","035197","2",0,30,"AZ",269.8,"1","0"
"276","035201","1",0,27,"AZ",100,"1","0"
"277","035205","2",0,30,"AZ",0,"1","0"
"278","035207","2",0,29,"AZ",116.3,"1","0"
"279","035214","1",0,30,"AZ",0,"1","0"
"280","035216","2",0,29,"AZ",0,"1","0"
"281","035217","2",0,22,"AZ",119.6,"1","0"
"282","035225","2",0,30,"AZ",0,"1","0"
"283","035231","1",0,27,"AZ",0,"1","0"
"284","035232","2",0,30,"AZ",82.4,"1","0"
"285","035233","2",0,27,"AZ",105.3,"1","0"
"286","035234","2",0,26,"AZ",68,"1","0"
"287","035240","2",0,30,"AZ",290.9,"1","0"
"288","035241","2",0,30,"AZ",44,"1","0"
"289","035243","1",0,30,"AZ",23.8,"1","0"
"290","035244","1",0,8,"AZ",129,"1","0"
"291","035245","2",0,30,"AZ",65.9,"1","0"
"292","035247","2",0,30,"AZ",50,"1","0"
"293","035247","1",0,30,"AZ",50,"1","0"
"294","035249","2",0,30,"AZ",90.9,"1","0"
"295","035250","2",0,0,"AZ",85,"0","0"
"296","035251","1",0,23,"AZ",217.4,"1","0"
"297","035253","1",0,30,"AZ",0,"1","0"
"298","035254","2",0,17,"AZ",328.9,"1","0"
"299","035256","2",0,15,"AZ",37,"1","0"
"300","035257","1",0,7,"AZ",0,"1","0"
"301","035259","1",0,30,"AZ",222.2,"1","0"
"302","035260","1",0,30,"AZ",0,"1","0"
"303","035262","1",0,29,"AZ",0,"1","0"
"304","035265","1",0,30,"AZ",0,"1","0"
"305","035266","1",0,30,"AZ",0,"1","0"
"306","035268","1",0,21,"AZ",333.3,"1","0"
"307","035270","2",0,30,"AZ",67.4,"1","0"
"308","035272","1",0,28,"AZ",333.3,"1","0"
"309","035273","1",0,29,"AZ",96.8,"1","0"
"310","035275","1",0,27,"AZ",87,"1","0"
"311","035276","2",0,28,"AZ",75,"1","0"
"312","035277","2",0,19,"AZ",227.3,"1","0"
"313","035279","1",0,30,"AZ",30.3,"1","0"
"314","035280","1",0,28,"AZ",52.6,"1","0"
"315","035281","1",0,30,"AZ",0,"1","0"
"316","035282","1",0,28,"AZ",55.6,"1","0"
"317","035283","1",0,30,"AZ",16.9,"1","0"
"318","035284","2",0,19,"AZ",47.1,"1","0"
"319","035285","1",0,30,"AZ",0,"1","0"
"320","035286","1",0,29,"AZ",34.5,"1","0"
"321","035287","1",0,28,"AZ",0,"1","0"
"322","035288","1",0,27,"AZ",888.9,"1","0"
"323","035289","1",0,7,"AZ",0,"1","0"
"324","035290","2",0,29,"AZ",10.6,"1","0"
"325","035291","1",0,28,"AZ",43.5,"1","0"
"326","035292","2",0,0,"AZ",116.7,"0","0"
"327","035293","1",0,30,"AZ",0,"1","0"
"328","035295","1",1,17,"AZ",21.7,"1","1"
"329","035296","1",0,26,"AZ",0,"1","0"
"330","035297","2",0,30,"AZ",16.7,"1","0"
"331","045070","2",0,28,"AR",131.1,"1","0"
"332","045098","2",0,29,"AR",384.6,"1","0"
"333","045125","1",0,30,"AR",277.8,"1","0"
"334","045134","2",0,17,"AR",166.7,"1","0"
"335","045135","2",0,21,"AR",232.1,"1","0"
"336","045138","2",0,12,"AR",46,"1","0"
"337","045139","2",0,29,"AR",0,"1","0"
"338","045140","2",0,18,"AR",34.1,"1","0"
"339","045142","1",0,30,"AR",131.6,"1","0"
"340","045143","2",0,26,"AR",0,"1","0"
"341","045146","1",0,30,"AR",271.2,"1","0"
"342","045147","2",0,30,"AR",0,"1","0"
"343","045148","1",0,25,"AR",211.5,"1","0"
"344","045149","1",0,23,"AR",189.2,"1","0"
"345","045151","2",0,27,"AR",145.5,"1","0"
"346","045153","1",0,10,"AR",0,"1","0"
"347","045157","2",0,30,"AR",186,"1","0"
"348","045158","1",0,23,"AR",142.9,"1","0"
"349","045166","2",0,0,"AR",0,"0","0"
"350","045168","2",0,30,"AR",0,"1","0"
"351","045170","2",0,2,"AR",18.3,"1","0"
"352","045173","2",0,29,"AR",13.5,"1","0"
"353","045176","2",0,30,"AR",76.9,"1","0"
"354","045177","1",0,26,"AR",184.2,"1","0"
"355","045178","2",0,29,"AR",346.2,"1","0"
"356","045182","2",0,24,"AR",116.7,"1","0"
"357","045183","2",0,30,"AR",231.9,"1","0"
"358","045184","2",0,15,"AR",52.6,"1","0"
"359","045187","2",0,10,"AR",40,"1","0"
"360","045189","2",0,30,"AR",145.5,"1","0"
"361","045191","1",0,19,"AR",0,"1","0"
"362","045192","1",0,30,"AR",218.8,"1","0"
"363","045192","2",0,30,"AR",218.8,"1","0"
"364","045194","2",0,29,"AR",100,"1","0"
"365","045195","2",0,0,"AR",228.1,"0","0"
"366","045196","2",0,30,"AR",206.3,"1","0"
"367","045197","1",0,30,"AR",375,"1","0"
"368","045199","2",0,30,"AR",85.7,"1","0"
"369","045201","2",0,25,"AR",258.6,"1","0"
"370","045202","1",0,30,"AR",1068.2,"1","0"
"371","045203","2",0,17,"AR",406.3,"1","0"
"372","045207","2",0,7,"AR",220,"1","0"
"373","045208","1",0,30,"AR",326.1,"1","0"
"374","045209","2",0,28,"AR",177.1,"1","0"
"375","045211","2",0,27,"AR",10.5,"1","0"
"376","045212","1",1,26,"AR",297.3,"1","1"
"377","045212","2",1,26,"AR",297.3,"1","1"
"378","045214","2",0,17,"AR",511.1,"1","0"
"379","045216","2",0,30,"AR",112.7,"1","0"
"380","045218","2",0,26,"AR",200,"1","0"
"381","045219","2",0,30,"AR",0,"1","0"
"382","045221","2",0,7,"AR",69.8,"1","0"
"383","045222","2",0,28,"AR",13.9,"1","0"
"384","045227","1",0,20,"AR",423.1,"1","0"
"385","045228","1",0,18,"AR",250,"1","0"
"386","045236","1",0,22,"AR",351.9,"1","0"
"387","045239","1",0,28,"AR",0,"1","0"
"388","045241","2",0,30,"AR",122.8,"1","0"
"389","045242","2",0,27,"AR",0,"1","0"
"390","045243","2",0,30,"AR",447.8,"1","0"
"391","045244","1",0,27,"AR",333.3,"1","0"
"392","045246","1",0,27,"AR",0,"1","0"
"393","045247","2",0,30,"AR",0,"1","0"
"394","045248","1",0,30,"AR",229.5,"1","0"
"395","045250","1",0,30,"AR",0,"1","0"
"396","045254","2",0,29,"AR",81.1,"1","0"
"397","045256","2",0,30,"AR",32.8,"1","0"
"398","045259","2",1,29,"AR",0,"1","1"
"399","045266","2",1,21,"AR",80,"1","1"
"400","045268","2",0,26,"AR",29.7,"1","0"
"401","045269","2",0,18,"AR",0,"1","0"
"402","045270","2",0,28,"AR",103.4,"1","0"
"403","045271","2",0,24,"AR",97.2,"1","0"
"404","045275","2",0,15,"AR",40.8,"1","0"
"405","045277","2",0,10,"AR",250,"1","0"
"406","045280","1",0,30,"AR",276.6,"1","0"
"407","045284","1",0,30,"AR",0,"1","0"
"408","045287","2",1,30,"AR",0,"1","1"
"409","045288","1",0,20,"AR",166.7,"1","0"
"410","045289","1",0,29,"AR",122.4,"1","0"
"411","045290","2",0,30,"AR",128.2,"1","0"
"412","045297","1",0,28,"AR",0,"1","0"
"413","045302","1",0,30,"AR",414.6,"1","0"
"414","045303","2",0,26,"AR",18.5,"1","0"
"415","045304","2",0,27,"AR",283,"1","0"
"416","045305","2",0,29,"AR",240,"1","0"
"417","045306","1",0,30,"AR",66.7,"1","0"
"418","045308","2",0,25,"AR",92.6,"1","0"
"419","045312","1",0,24,"AR",131.1,"1","0"
"420","045313","2",0,28,"AR",18.2,"1","0"
"421","045314","2",0,21,"AR",40,"1","0"
"422","045315","1",0,30,"AR",78.4,"1","0"
"423","045317","2",0,30,"AR",44.6,"1","0"
"424","045318","1",0,14,"AR",333.3,"1","0"
"425","045322","1",0,29,"AR",60.6,"1","0"
"426","045326","2",0,26,"AR",75.8,"1","0"
"427","045327","2",0,28,"AR",91.8,"1","0"
"428","045337","2",1,30,"AR",11.9,"1","1"
"429","045338","2",0,14,"AR",275.9,"1","0"
"430","045339","1",0,28,"AR",87,"1","0"
"431","045340","2",0,30,"AR",0,"1","0"
"432","045341","2",0,17,"AR",0,"1","0"
"433","045342","1",0,28,"AR",73.2,"1","0"
"434","045343","2",0,30,"AR",250,"1","0"
"435","045345","2",0,29,"AR",118.3,"1","0"
"436","045346","1",0,30,"AR",142.9,"1","0"
"437","045348","1",0,18,"AR",0,"1","0"
"438","045350","2",0,18,"AR",15.2,"1","0"
"439","045351","2",0,28,"AR",352.9,"1","0"
"440","045352","2",0,30,"AR",98.6,"1","0"
"441","045353","1",0,19,"AR",194.4,"1","0"
"442","045354","2",0,30,"AR",0,"1","0"
"443","045356","2",1,7,"AR",3500,"1","1"
"444","045357","2",2,29,"AR",207.3,"1","1"
"445","045359","2",0,30,"AR",158.7,"1","0"
"446","045361","2",0,26,"AR",65.6,"1","0"
"447","045364","1",0,29,"AR",138.5,"1","0"
"448","045365","1",0,18,"AR",69,"1","0"
"449","045366","1",0,28,"AR",145.2,"1","0"
"450","045367","1",0,26,"AR",0,"1","0"
"451","045369","2",0,28,"AR",268.7,"1","0"
"452","045371","1",0,27,"AR",166.7,"1","0"
"453","045372","2",0,22,"AR",272.7,"1","0"
"454","045373","1",0,26,"AR",43.5,"1","0"
"455","045374","2",0,30,"AR",96.8,"1","0"
"456","045378","2",0,24,"AR",428.6,"1","0"
"457","045379","2",0,0,"AR",30.9,"0","0"
"458","045380","2",0,28,"AR",92.3,"1","0"
"459","045381","1",0,30,"AR",98.4,"1","0"
"460","045383","2",0,30,"AR",140,"1","0"
"461","045384","1",0,29,"AR",325.6,"1","0"
"462","045385","2",2,30,"AR",103.1,"1","1"
"463","045386","2",0,10,"AR",200,"1","0"
"464","045387","2",0,30,"AR",131.6,"1","0"
"465","045390","1",0,0,"AR",73.5,"0","0"
"466","045391","2",0,24,"AR",166.7,"1","0"
"467","045392","2",0,30,"AR",0,"1","0"
"468","045393","1",0,25,"AR",88.2,"1","0"
"469","045394","1",0,30,"AR",210.5,"1","0"
"470","045396","2",0,17,"AR",106.4,"1","0"
"471","045398","1",0,27,"AR",102,"1","0"
"472","045402","1",0,30,"AR",266.7,"1","0"
"473","045403","1",0,30,"AR",23.8,"1","0"
"474","045404","1",0,30,"AR",0,"1","0"
"475","045407","2",0,25,"AR",149.4,"1","0"
"476","045408","2",0,26,"AR",200,"1","0"
"477","045409","1",0,5,"AR",37.7,"1","0"
"478","045410","2",0,19,"AR",122.8,"1","0"
"479","045412","2",0,22,"AR",136.8,"1","0"
"480","045413","2",0,28,"AR",56.6,"1","0"
"481","045414","2",0,30,"AR",0,"1","0"
"482","045415","1",0,29,"AR",0,"1","0"
"483","045416","2",0,30,"AR",117.6,"1","0"
"484","045417","1",0,22,"AR",152.5,"1","0"
"485","045418","2",0,29,"AR",35.7,"1","0"
"486","045421","2",0,29,"AR",0,"1","0"
"487","045422","1",0,30,"AR",400,"1","0"
"488","045424","2",0,30,"AR",95.2,"1","0"
"489","045427","1",0,29,"AR",20.4,"1","0"
"490","045428","2",0,30,"AR",13.7,"1","0"
"491","045430","2",0,10,"AR",0,"1","0"
"492","045431","2",0,17,"AR",144.9,"1","0"
"493","045432","2",0,16,"AR",298.2,"1","0"
"494","045433","1",0,30,"AR",0,"1","0"
"495","045434","2",0,28,"AR",10.2,"1","0"
"496","045436","1",0,28,"AR",0,"1","0"
"497","045437","1",1,30,"AR",0,"1","1"
"498","045438","1",0,11,"AR",17.2,"1","0"
"499","045439","1",1,30,"AR",234,"1","1"
"500","045440","2",0,27,"AR",111.1,"1","0"
"501","045441","2",0,29,"AR",35.7,"1","0"
"502","045442","1",0,30,"AR",73.2,"1","0"
"503","045443","2",0,16,"AR",247.4,"1","0"
"504","045445","1",0,30,"AR",117.6,"1","0"
"505","045446","2",2,12,"AR",216.2,"1","1"
"506","045447","2",0,0,"AR",0,"0","0"
"507","045449","1",0,27,"AR",142.9,"1","0"
"508","045450","2",0,30,"AR",11.6,"1","0"
"509","045451","1",0,11,"AR",0,"1","0"
"510","045453","1",0,29,"AR",15.4,"1","0"
"511","045455","2",0,28,"AR",0,"1","0"
"512","045456","2",0,29,"AR",272.7,"1","0"
"513","045457","2",0,29,"AR",0,"1","0"
"514","045458","2",0,22,"AR",184.6,"1","0"
"515","045459","1",0,22,"AR",0,"1","0"
"516","045460","2",0,29,"AR",0,"1","0"
"517","045462","1",0,30,"AR",0,"1","0"
"518","045463","2",0,24,"AR",60.6,"1","0"
"519","045464","2",0,29,"AR",236.1,"1","0"
"520","045465","2",0,30,"AR",171.4,"1","0"
"521","045466","2",0,25,"AR",0,"1","0"
"522","045468","1",0,30,"AR",81.1,"1","0"
"523","045469","1",0,27,"AR",230.8,"1","0"
"524","045470","2",0,22,"AR",292.7,"1","0"
"525","045471","2",0,26,"AR",90.9,"1","0"
"526","04A158","2",0,29,"AR",272.7,"1","0"
"527","055001","1",0,30,"CA",342.9,"1","0"
"528","055002","1",0,30,"CA",181.8,"1","0"
"529","055003","1",0,30,"CA",0,"1","0"
"530","055008","2",0,30,"CA",0,"1","0"
"531","055011","1",0,30,"CA",240,"1","0"
"532","055013","2",0,30,"CA",327.1,"1","0"
"533","055014","1",0,30,"CA",0,"1","0"
"534","055016","1",0,30,"CA",0,"1","0"
"535","055017","2",0,30,"CA",57.5,"1","0"
"536","055022","1",0,30,"CA",0,"1","0"
"537","055028","1",0,30,"CA",34.5,"1","0"
"538","055032","1",0,30,"CA",145.2,"1","0"
"539","055034","2",0,30,"CA",95.9,"1","0"
"540","055036","1",0,30,"CA",42.6,"1","0"
"541","055039","1",0,30,"CA",0,"1","0"
"542","055041","1",0,30,"CA",83.3,"1","0"
"543","055042","1",0,29,"CA",29.9,"1","0"
"544","055045","2",0,27,"CA",134.9,"1","0"
